sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Etty felt that his approach to the work illustrated a moral warning about the pursuit of pleasure , but his approach was not entirely successful.","Etty felt his approach to the work illustrated a moral warning about the pursuit of pleasure , but his approach was not entirely successful.",0,feel,felt,that,Etty,Etty felt,Etty felt his approach to the work,30.23658431,14.96896267
"The Bard was about a supposed curse on the House of Plantagenet placed by a Welsh bard following Edward I of England 's attempts to eradicate Welsh culture , and critics felt that Etty had somewhat misunderstood the point of Gray 's poem.","The Bard was about a supposed curse on the House of Plantagenet placed by a Welsh bard following Edward I of England 's attempts to eradicate Welsh culture , and critics felt Etty had somewhat misunderstood the point of Gray 's poem.",0,feel,felt,that,"The Bard was about a supposed curse on the House of Plantagenet placed by a Welsh bard following Edward I of England 's attempts to eradicate Welsh culture , and critics","The Bard was about a supposed curse on the House of Plantagenet placed by a Welsh bard following Edward I of England 's attempts to eradicate Welsh culture , and critics felt","The Bard was about a supposed curse on the House of Plantagenet placed by a Welsh bard following Edward I of England 's attempts to eradicate Welsh culture , and critics felt Etty had somewhat misunderstood the",56.01917207,7.756745815
( Deterioration and restoration means this demonic figure is now barely visible.,( Deterioration and restoration means this demonic figure is now barely visible.,0,mean,means,none,( Deterioration and restoration,( Deterioration and restoration means,( Deterioration and restoration means this demonic figure is now,43.04603755,12.78050286
""" While Etty felt that the work conveyed a clear moral warning about the pursuit of pleasure , this lesson was largely lost upon its audiences.",""" While Etty felt the work conveyed a clear moral warning about the pursuit of pleasure , this lesson was largely lost upon its audiences.",0,feel,felt,that,""" While Etty",""" While Etty felt",""" While Etty felt the work conveyed a clear",36.23179102,10.87669754
"Let Mr. Etty strive to acquire a taste equally pure : he should know , that just delicate taste and pure moral sense are synonymous terms.","Let Mr. Etty strive to acquire a taste equally pure : he should know , that just delicate taste and pure moral sense are synonymous terms.",0,know,know,none,Let Mr. Etty strive to acquire a taste equally pure : he should,Let Mr. Etty strive to acquire a taste equally pure : he should know,"Let Mr. Etty strive to acquire a taste equally pure : he should know , that just delicate taste",46.20568192,6.578704834
"The Library of the Fine Arts felt "" in classical design , anatomical drawing , elegance of attitude , fineness of form , and gracefulness of grouping , no doubt Mr. Etty has no superior "" , and while "" the representation of the ideas in the lines quoted [ from The Bard ] are beautifully and accurately expressed upon the canvas "" they considered "" the ulterior reference of the poet [ to the destruction of Welsh culture and the decline of the House of Plantagenet ] was entirely lost sight of , and that , if this be the nearest that Art can approach in conveying to the eye the happy exemplification of the subject which Gray intended , we fear we must give up the contest upon the merits of poetry and painting.","The Library of the Fine Arts felt "" in classical design , anatomical drawing , elegance of attitude , fineness of form , and gracefulness of grouping , no doubt Mr. Etty has no superior "" , and while "" the representation of the ideas in the lines quoted [ from The Bard ] are beautifully and accurately expressed upon the canvas "" they considered "" the ulterior reference of the poet [ to the destruction of Welsh culture and the decline of the House of Plantagenet ] was entirely lost sight of , and that , if this be the nearest that Art can approach in conveying to the eye the happy exemplification of the subject which Gray intended , we fear we must give up the contest upon the merits of poetry and painting.",0,fear,fear,none,"The Library of the Fine Arts felt "" in classical design , anatomical drawing , elegance of attitude , fineness of form , and gracefulness of grouping , no doubt Mr. Etty has no superior "" , and while "" the representation of the ideas in the lines quoted [ from The Bard ] are beautifully and accurately expressed upon the canvas "" they considered "" the ulterior reference of the poet [ to the destruction of Welsh culture and the decline of the House of Plantagenet ] was entirely lost sight of , and that , if this be the nearest that Art can approach in conveying to the eye the happy exemplification of the subject which Gray intended , we","The Library of the Fine Arts felt "" in classical design , anatomical drawing , elegance of attitude , fineness of form , and gracefulness of grouping , no doubt Mr. Etty has no superior "" , and while "" the representation of the ideas in the lines quoted [ from The Bard ] are beautifully and accurately expressed upon the canvas "" they considered "" the ulterior reference of the poet [ to the destruction of Welsh culture and the decline of the House of Plantagenet ] was entirely lost sight of , and that , if this be the nearest that Art can approach in conveying to the eye the happy exemplification of the subject which Gray intended , we fear","The Library of the Fine Arts felt "" in classical design , anatomical drawing , elegance of attitude , fineness of form , and gracefulness of grouping , no doubt Mr. Etty has no superior "" , and while "" the representation of the ideas in the lines quoted [ from The Bard ] are beautifully and accurately expressed upon the canvas "" they considered "" the ulterior reference of the poet [ to the destruction of Welsh culture and the decline of the House of Plantagenet ] was entirely lost sight of , and that , if this be the nearest that Art can approach in conveying to the eye the happy exemplification of the subject which Gray intended , we fear we must give up the",20.2252996,10.54564953
""" Similar concerns were raised in The Times , which observed that it was "" Full of beauty , rich in colouring , boldly and accurately drawn , and composed with a most graceful fancy ; but the meaning of it , if it has any meaning , no man can tell "" , pointing out that although it was intended to illustrate Gray it "" would represent almost as well any other poet 's fancies.",""" Similar concerns were raised in The Times , which observed it was "" Full of beauty , rich in colouring , boldly and accurately drawn , and composed with a most graceful fancy ; but the meaning of it , if it has any meaning , no man can tell "" , pointing out that although it was intended to illustrate Gray it "" would represent almost as well any other poet 's fancies.",0,observe,observed,that,""" Similar concerns were raised in The Times , which",""" Similar concerns were raised in The Times , which observed",""" Similar concerns were raised in The Times , which observed it was "" Full of",31.69114554,9.562861443
""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained that the boat would not in reality "" float half the weight which is made to press upon it.",""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained that the boat would not in reality "" float half the weight which is made to press upon it.",0,complain,complained,none,""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also",""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained",""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained that the boat would not",16.70050538,7.07739687
""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained that the boat would not in reality "" float half the weight which is made to press upon it.",""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained the boat would not in reality "" float half the weight which is made to press upon it.",0,complain,complained,that,""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also",""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained",""" The Examiner , meanwhile , took issue with the cramped and overladen boat , pointing out that the characters "" if not exactly jammed together like figs in a basket , are sadly constrained for want of room "" , and also complained the boat would not in",32.16798997,7.07739687
"Other reviewers were kinder ; The Gentleman 's Magazine praised Etty 's ability to capture "" the beauty of the proportion of the antique "" , noting that in the central figures "" there is far more of classicality than is to be seen in almost any modern picture "" , and considered the overall composition "" a most fortunate combination of the ideality of Poetry and the reality of Nature "".","Other reviewers were kinder ; The Gentleman 's Magazine praised Etty 's ability to capture "" the beauty of the proportion of the antique "" , noting in the central figures "" there is far more of classicality than is to be seen in almost any modern picture "" , and considered the overall composition "" a most fortunate combination of the ideality of Poetry and the reality of Nature "".",0,note,noting,that,"Other reviewers were kinder ; The Gentleman 's Magazine praised Etty 's ability to capture "" the beauty of the proportion of the antique "" ,","Other reviewers were kinder ; The Gentleman 's Magazine praised Etty 's ability to capture "" the beauty of the proportion of the antique "" , noting","Other reviewers were kinder ; The Gentleman 's Magazine praised Etty 's ability to capture "" the beauty of the proportion of the antique "" , noting in the central figures """,40.45622897,7.150597215
