sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"Although no exact casualty total was documented , reports indicated that the tropical cyclone caused a "" few casualties "".","Although no exact casualty total was documented , reports indicated the tropical cyclone caused a "" few casualties "".",0,indicate,indicated,that,"Although no exact casualty total was documented , reports","Although no exact casualty total was documented , reports indicated","Although no exact casualty total was documented , reports indicated the tropical cyclone caused a",34.23776583,4.575628757
"Upon learning that he is alive , the Blind Master ( RZA ) , leader of the Arashikage Clan , sends Snake Eyes ( Ray Park ) and his apprentice Jinx ( Élodie Yung ) , Storm Shadow 's cousin , to capture Storm Shadow so he can answer for the murder of his uncle , the Hard Master.","Upon learning he is alive , the Blind Master ( RZA ) , leader of the Arashikage Clan , sends Snake Eyes ( Ray Park ) and his apprentice Jinx ( Élodie Yung ) , Storm Shadow 's cousin , to capture Storm Shadow so he can answer for the murder of his uncle , the Hard Master.",0,learn,learning,that,Upon,Upon learning,"Upon learning he is alive , the",32.95678043,5.470033169
"After Zartan announces that Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye deduces that someone is impersonating the President , and Roadblock leads them to General Joseph Colton ( Bruce Willis ) , who provides them with weapons , and helps them infiltrate a fundraising event that the President will be attending.","After Zartan announces Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye deduces that someone is impersonating the President , and Roadblock leads them to General Joseph Colton ( Bruce Willis ) , who provides them with weapons , and helps them infiltrate a fundraising event that the President will be attending.",0,announce,announces,that,After Zartan,After Zartan announces,After Zartan announces Cobra will replace the Joes,55.65650749,10.87351608
"After Zartan announces that Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye deduces that someone is impersonating the President , and Roadblock leads them to General Joseph Colton ( Bruce Willis ) , who provides them with weapons , and helps them infiltrate a fundraising event that the President will be attending.","After Zartan announces that Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye deduces someone is impersonating the President , and Roadblock leads them to General Joseph Colton ( Bruce Willis ) , who provides them with weapons , and helps them infiltrate a fundraising event that the President will be attending.",0,deduce,deduces,that,"After Zartan announces that Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye","After Zartan announces that Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye deduces","After Zartan announces that Cobra will replace the Joes as America 's elite special forces unit , Lady Jaye deduces someone is impersonating the President",37.67969876,14.07751429
Lady Jaye steals a sample of the President 's DNA and confirms that he is Zartan.,Lady Jaye steals a sample of the President 's DNA and confirms he is Zartan.,0,confirm,confirms,that,Lady Jaye steals a sample of the President 's DNA and,Lady Jaye steals a sample of the President 's DNA and confirms,Lady Jaye steals a sample of the President 's DNA and confirms he is Zartan.,34.07907617,12.19112039
"Snake Eyes and Jinx locate and capture Storm Shadow after a battle with ninjas and take him to Japan , where Storm Shadow reveals that Zartan murdered the Hard Master , and that he joined Cobra to avenge his uncle.","Snake Eyes and Jinx locate and capture Storm Shadow after a battle with ninjas and take him to Japan , where Storm Shadow reveals Zartan murdered the Hard Master , and that he joined Cobra to avenge his uncle.",0,reveal,reveals,that,"Snake Eyes and Jinx locate and capture Storm Shadow after a battle with ninjas and take him to Japan , where Storm Shadow","Snake Eyes and Jinx locate and capture Storm Shadow after a battle with ninjas and take him to Japan , where Storm Shadow reveals","Snake Eyes and Jinx locate and capture Storm Shadow after a battle with ninjas and take him to Japan , where Storm Shadow reveals Zartan murdered the Hard Master",75.92962575,6.411627993
"Zartan invites the world leaders to a summit at historic Fort Sumter , where he blackmails them into disabling their nuclear arsenals , and reveals that he has created Project Zeus : seven orbital kinetic bombardment weapons of mass destruction at his command.","Zartan invites the world leaders to a summit at historic Fort Sumter , where he blackmails them into disabling their nuclear arsenals , and reveals he has created Project Zeus : seven orbital kinetic bombardment weapons of mass destruction at his command.",0,reveal,reveals,that,"Zartan invites the world leaders to a summit at historic Fort Sumter , where he blackmails them into disabling their nuclear arsenals , and","Zartan invites the world leaders to a summit at historic Fort Sumter , where he blackmails them into disabling their nuclear arsenals , and reveals","Zartan invites the world leaders to a summit at historic Fort Sumter , where he blackmails them into disabling their nuclear arsenals , and reveals he has created Project Zeus",40.39346552,8.24004364
"After the financially successful release of The Rise of Cobra , Rob Moore , the studio vice chairman of Paramount Pictures , stated in 2009 that a sequel would be developed.","After the financially successful release of The Rise of Cobra , Rob Moore , the studio vice chairman of Paramount Pictures , stated in 2009 a sequel would be developed.",2,state,stated,that,"After the financially successful release of The Rise of Cobra , Rob Moore , the studio vice chairman of Paramount Pictures ,","After the financially successful release of The Rise of Cobra , Rob Moore , the studio vice chairman of Paramount Pictures , stated","After the financially successful release of The Rise of Cobra , Rob Moore , the studio vice chairman of Paramount Pictures , stated in 2009 a sequel would be developed.",43.92160828,8.89251332
"Stephen Sommers was originally going to return as director of the sequel , but Paramount Pictures announced in February 2011 that Jon Chu would direct the sequel.","Stephen Sommers was originally going to return as director of the sequel , but Paramount Pictures announced in February 2011 Jon Chu would direct the sequel.",3,announce,announced,that,"Stephen Sommers was originally going to return as director of the sequel , but Paramount Pictures","Stephen Sommers was originally going to return as director of the sequel , but Paramount Pictures announced","Stephen Sommers was originally going to return as director of the sequel , but Paramount Pictures announced in February 2011 Jon Chu would direct the",59.01320398,4.546984673
"Chu would later declare that Paramount wanted a reboot that also served as a sequel to The Rise of Cobra since "" a lot of people saw the first movie so we don 't want to alienate that and redo the whole thing.","Chu would later declare Paramount wanted a reboot that also served as a sequel to The Rise of Cobra since "" a lot of people saw the first movie so we don 't want to alienate that and redo the whole thing.",0,declare,declare,that,Chu would later,Chu would later declare,Chu would later declare Paramount wanted a reboot that,48.3199563,8.46143055
"Rachel Nichols , the actress who played Scarlett in the first film , stated that most cast members would not be returning , except for the three aforementioned actors.","Rachel Nichols , the actress who played Scarlett in the first film , stated most cast members would not be returning , except for the three aforementioned actors.",0,state,stated,that,"Rachel Nichols , the actress who played Scarlett in the first film ,","Rachel Nichols , the actress who played Scarlett in the first film , stated","Rachel Nichols , the actress who played Scarlett in the first film , stated most cast members would not",33.13768455,10.55172968
"In March 2011 , Sienna Miller stated that she would not be returning for a sequel.","In March 2011 , Sienna Miller stated she would not be returning for a sequel.",0,state,stated,that,"In March 2011 , Sienna Miller","In March 2011 , Sienna Miller stated","In March 2011 , Sienna Miller stated she would not be returning",17.37721038,11.29074812
Joseph Gordon @-@ Levitt also confirmed that he would not be returning as Cobra Commander in the sequel.,Joseph Gordon @-@ Levitt also confirmed he would not be returning as Cobra Commander in the sequel.,0,confirm,confirmed,that,Joseph Gordon @-@ Levitt also,Joseph Gordon @-@ Levitt also confirmed,Joseph Gordon @-@ Levitt also confirmed he would not be returning,17.16902256,8.464315653
"Arnold Vosloo also confirmed that he would reprise his role of Zartan , although in the final film Vosloo appears only in a couple of non @-@ dialogue scenes , with Jonathan Pryce playing Zartan in most scenes.","Arnold Vosloo also confirmed he would reprise his role of Zartan , although in the final film Vosloo appears only in a couple of non @-@ dialogue scenes , with Jonathan Pryce playing Zartan in most scenes.",0,confirm,confirmed,that,Arnold Vosloo also,Arnold Vosloo also confirmed,Arnold Vosloo also confirmed he would reprise his role,16.59204899,7.564863682
