sentence,pseudo_that,verb,comp_type
"A reanalysis of the system indicated that due to a lack of definite tropical features , the storm may have had been a subtropical cyclone.","A reanalysis of the system indicated due to a lack of definite tropical features , the storm may have had been a subtropical cyclone.",indicate,that
"On October 14 , offshore observations indicated that a tropical depression had developed north of The Bahamas.","On October 14 , offshore observations indicated a tropical depression had developed north of The Bahamas.",indicate,that
"When he came into the house , I perceived he had some scraps of paper in his hand , and these he was quietly thrusting behind the books.","When he came into the house , I perceived he had some scraps of paper in his hand , and these he was quietly thrusting behind the books.",perceive,none
"On inquiry , I found those scraps , four or five in number , contained his poetic feelings on the song of the nightingale.","On inquiry , I found those scraps , four or five in number , contained his poetic feelings on the song of the nightingale.",find,none
""" Brown 's account is personal , as he claimed the poem was directly influenced by his house and preserved by his own doing.",""" Brown 's account is personal , as he claimed the poem was directly influenced by his house and preserved by his own doing.",claim,none
"This same pattern is found again in line 41 ( "" I cannot see what flowers are at my feet "" ) with the "" a "" of "" cannot "" linking with the "" a "" of "" at "" and the "" ee "" of "" see "" linking with the "" ee "" of "" feet "".","This same pattern is found again in line 41 ( "" I cannot see what flowers are at my feet "" ) with the "" a "" of "" cannot "" linking with the "" a "" of "" at "" and the "" ee "" of "" see "" linking with the "" ee "" of "" feet "".",see,none
"I cannot see what flowers are at my feet ,.","I cannot see what flowers are at my feet ,.",see,none
"This is not to say that the song is a simple metaphor , but it is a complex image that is formed through the interaction of the conflicting voices of praise and questioning.","This is not to say the song is a simple metaphor , but it is a complex image that is formed through the interaction of the conflicting voices of praise and questioning.",say,that
"As the poem ends , the trance caused by the nightingale is broken and the narrator is left wondering if it was a real vision or just a dream.","As the poem ends , the trance caused by the nightingale is broken and the narrator is left wondering if it was a real vision or just a dream.",wonder,other
"Responding to this emphasis on pleasure , Albert Guerard , Jr. argues that the poem contains a "" longing not for art but a free reverie of any kind.","Responding to this emphasis on pleasure , Albert Guerard , Jr. argues the poem contains a "" longing not for art but a free reverie of any kind.",argue,that
"Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he says , "" the core of the poem is the search for the mystery , the unsuccessful quest for light within its darkness "" and this "" leads only to an increasing darkness , or a growing recognition of how impenetrable the mystery is to mortals.","Earl Wasserman essentially agrees with Finney , but he extended his summation of the poem to incorporate the themes of Keats 's Mansion of Many Apartments when he says , "" the core of the poem is the search for the mystery , the unsuccessful quest for light within its darkness "" and this "" leads only to an increasing darkness , or a growing recognition of how impenetrable the mystery is to mortals.",say,none
"In a review for the 21 January 1835 London Journal , Hunt claimed that while Keats wrote the poem , "" The poet had then his mortal illness upon him , and knew it.","In a review for the 21 January 1835 London Journal , Hunt claimed while Keats wrote the poem , "" The poet had then his mortal illness upon him , and knew it.",claim,that
"Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought that the poem contained too much artificial language.","Bridges , in 1895 , declared the poem was the best of Keats 's odes but he thought that the poem contained too much artificial language.",declare,that
"Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought that the poem contained too much artificial language.","Bridges , in 1895 , declared that the poem was the best of Keats 's odes but he thought the poem contained too much artificial language.",think,that
"In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson suggested that "" Ode to a Nightingale "" is deeply flawed because it contains too many "" incoherent musings "" that failed to supply a standard of logic that would allow the reader to understand the relationship between the poet and the bird.","In "" Two odes of Keats 's "" ( 1897 ) , William C Wilkinson suggested "" Ode to a Nightingale "" is deeply flawed because it contains too many "" incoherent musings "" that failed to supply a standard of logic that would allow the reader to understand the relationship between the poet and the bird.",suggest,that
"However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he stated that "" Nightingale "" , along with "" To Autumn "" , showed a greater amount of logical thought and more aptly presented the cases they were intended to make.","However , Herbert Grierson , arguing in 1928 , believed Nightingale to be superior to "" Ode on a Grecian Urn "" , "" Ode on Melancholy "" , and "" Ode to Psyche "" , arguing the exact opposite of Wilkinson as he stated "" Nightingale "" , along with "" To Autumn "" , showed a greater amount of logical thought and more aptly presented the cases they were intended to make.",state,that
"At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can say , ' These are the magic.","At the beginning of the 20th century , Rudyard Kipling referred to lines 69 and 70 , alongside three lines from Samuel Taylor Coleridge 's Kubla Khan , when he claimed of poetry : "" In all the millions permitted there are no more than five — five little lines — of which one can say , ' These are the magic.",say,none
""" Sidney Colvin , in 1920 , argued , "" Throughout this ode Keats ’ s genius is at its height.",""" Sidney Colvin , in 1920 , argued , "" Throughout this ode Keats ’ s genius is at its height.",argue,none
"Like Albert Gerard would argue later in 1944 , Garrod believed that the problem within Keats 's poem was his emphasis on the rhythm and the language instead of the main ideas of the poem.","Like Albert Gerard would argue later in 1944 , Garrod believed the problem within Keats 's poem was his emphasis on the rhythm and the language instead of the main ideas of the poem.",believe,that
