sentence,pseudo_that,matrix_verb_to_cc,verb,verb_in_text,comp_type,context,context_verb,context_verb_n,embedded_n_sum,verb_sum
"It specifically limited the royal prerogative , with Article 1 holding that the "" power of suspending the laws or the execution of laws by regal authority without consent of Parliament is illegal "" , and article 4 confirming that "" levying money for or to the use of the Crown by pretence of prerogative , without grant of Parliament , for longer time , or in other manner than the same is or shall be granted , is illegal "".","It specifically limited the royal prerogative , with Article 1 holding the "" power of suspending the laws or the execution of laws by regal authority without consent of Parliament is illegal "" , and article 4 confirming "" levying money for or to the use of the Crown by pretence of prerogative , without grant of Parliament , for longer time , or in other manner than the same is or shall be granted , is illegal "".",0,confirm,confirming,that,"It specifically limited the royal prerogative , with Article 1 holding the "" power of suspending the laws or the execution of laws by regal authority without consent of Parliament is illegal "" , and article 4","It specifically limited the royal prerogative , with Article 1 holding the "" power of suspending the laws or the execution of laws by regal authority without consent of Parliament is illegal "" , and article 4 confirming","It specifically limited the royal prerogative , with Article 1 holding the "" power of suspending the laws or the execution of laws by regal authority without consent of Parliament is illegal "" , and article 4 confirming "" levying money for or",40.44028956,8.789230824
"A reanalysis of the system indicated that due to a lack of definite tropical features , the storm may have had been a subtropical cyclone.","A reanalysis of the system indicated due to a lack of definite tropical features , the storm may have had been a subtropical cyclone.",0,indicate,indicated,that,A reanalysis of the system,A reanalysis of the system indicated,A reanalysis of the system indicated due to a lack of,23.2779953,11.74620862
"On October 14 , offshore observations indicated that a tropical depression had developed north of The Bahamas.","On October 14 , offshore observations indicated a tropical depression had developed north of The Bahamas.",0,indicate,indicated,that,"On October 14 , offshore observations","On October 14 , offshore observations indicated","On October 14 , offshore observations indicated a tropical depression had developed",26.50909829,4.542870998
"When he came into the house , I perceived he had some scraps of paper in his hand , and these he was quietly thrusting behind the books.","When he came into the house , I perceived he had some scraps of paper in his hand , and these he was quietly thrusting behind the books.",0,perceive,perceived,none,"When he came into the house , I","When he came into the house , I perceived","When he came into the house , I perceived he had some scraps of",29.49737084,13.49476194
"On inquiry , I found those scraps , four or five in number , contained his poetic feelings on the song of the nightingale.","On inquiry , I found those scraps , four or five in number , contained his poetic feelings on the song of the nightingale.",0,find,found,none,"On inquiry , I","On inquiry , I found","On inquiry , I found those scraps , four or",53.94671416,3.597122192
""" Brown 's account is personal , as he claimed the poem was directly influenced by his house and preserved by his own doing.",""" Brown 's account is personal , as he claimed the poem was directly influenced by his house and preserved by his own doing.",0,claim,claimed,none,""" Brown 's account is personal , as he",""" Brown 's account is personal , as he claimed",""" Brown 's account is personal , as he claimed the poem was directly influenced",37.81709766,7.564022064
"This same pattern is found again in line 41 ( "" I cannot see what flowers are at my feet "" ) with the "" a "" of "" cannot "" linking with the "" a "" of "" at "" and the "" ee "" of "" see "" linking with the "" ee "" of "" feet "".","This same pattern is found again in line 41 ( "" I cannot see what flowers are at my feet "" ) with the "" a "" of "" cannot "" linking with the "" a "" of "" at "" and the "" ee "" of "" see "" linking with the "" ee "" of "" feet "".",0,see,see,none,"This same pattern is found again in line 41 ( "" I cannot","This same pattern is found again in line 41 ( "" I cannot see","This same pattern is found again in line 41 ( "" I cannot see what flowers are at my",33.9355098,4.30140686
"I cannot see what flowers are at my feet ,.","I cannot see what flowers are at my feet ,.",0,see,see,none,I cannot,I cannot see,I cannot see what flowers are at my,35.86756349,6.188434124
"This is not to say that the song is a simple metaphor , but it is a complex image that is formed through the interaction of the conflicting voices of praise and questioning.","This is not to say the song is a simple metaphor , but it is a complex image that is formed through the interaction of the conflicting voices of praise and questioning.",0,say,say,that,This is not to,This is not to say,This is not to say the song is a simple,29.79666585,0.527124524
"As the poem ends , the trance caused by the nightingale is broken and the narrator is left wondering if it was a real vision or just a dream.","As the poem ends , the trance caused by the nightingale is broken and the narrator is left wondering if it was a real vision or just a dream.",0,wonder,wondering,other,"As the poem ends , the trance caused by the nightingale is broken and the narrator is left","As the poem ends , the trance caused by the nightingale is broken and the narrator is left wondering","As the poem ends , the trance caused by the nightingale is broken and the narrator is left wondering if it was a real",18.36874461,6.421875477
